x,y,theta
-541.0,628.0,4.766105481397187
-541.0,619.0,5.657099509268688
-541.0,616.0,1.204670654986046
-541.0,613.0,3.8997707234175643
-541.0,610.0,1.2486920798578875
-541.0,607.0,1.2924858542468736
-541.0,604.0,5.430055864265025
-541.0,601.0,0.2480564867681079
-538.0,622.0,1.9278102940210478
-538.0,619.0,5.93383001817505
-538.0,616.0,2.3965918577690255
-538.0,613.0,1.0518252008691649
-538.0,610.0,2.0678906494434486
-538.0,607.0,5.530816784060101
-538.0,604.0,6.247187295150445
-538.0,601.0,5.257985788083039
-538.0,598.0,4.059945024827291
-535.0,625.0,1.6464761727377277
-535.0,622.0,1.6345348710270537
-535.0,619.0,0.44051925416125115
-535.0,616.0,1.9454478351771733
-535.0,613.0,0.9674438572686156
-535.0,610.0,1.0634919454690972
-535.0,607.0,2.586186253449844
-535.0,604.0,5.137169879002643
-535.0,601.0,2.595122225192775
-535.0,598.0,5.071249437256813
-532.0,700.0,1.0909262676929294
-532.0,697.0,0.35803205182029485
-532.0,694.0,5.750259707247623
-532.0,691.0,1.4948573425184786
-532.0,688.0,1.020803339505246
-532.0,685.0,0.5799426302311199
-532.0,682.0,0.911287417674658
-532.0,625.0,2.072674839269501
-532.0,622.0,5.907806833598071
-532.0,619.0,1.3670360097373988
-532.0,616.0,6.006385900298724
-532.0,613.0,5.340798165889635
-532.0,610.0,2.0393755737637367
-532.0,607.0,1.7094966844822916
-532.0,604.0,3.0062673389401344
-532.0,601.0,4.577118709668936
-532.0,598.0,1.9849895905456592
-529.0,715.0,3.3364920428355784
-529.0,712.0,4.382245055461588
-529.0,709.0,0.7747293400846215
-529.0,706.0,1.7892649742374762
-529.0,703.0,3.997748002964492
-529.0,700.0,5.457047648418486
-529.0,697.0,1.6021150980957082
-529.0,694.0,0.035332851010325406
-529.0,691.0,4.602775742095376
-529.0,688.0,3.8115696668078947
-529.0,685.0,3.14932471197529
-529.0,682.0,2.6549715300155095
-529.0,679.0,1.1956828097337777
-529.0,625.0,4.333630527493235
-529.0,622.0,5.785046345650914
-529.0,619.0,2.296231413882947
-529.0,616.0,4.026371292594736
-529.0,613.0,2.7000497554208382
-529.0,610.0,3.4010899281176914
-529.0,607.0,4.519665386177891
-529.0,604.0,3.953963825168775
